doc,condition,checks_score,independent_score
0,A_no_prompt,0.5,0.1691176470588235
0,B_custom_instruction,0.5,0.25136612021857924
0,D_our_tool,1.0,0.29787234042553196
1,A_no_prompt,0.5,0.13743218806509944
1,B_custom_instruction,0.5,0.20920502092050208
1,D_our_tool,1.0,0.21004566210045664
2,A_no_prompt,1.0,0.029032258064516127
2,B_custom_instruction,1.0,0.14404432132963987
2,D_our_tool,1.0,0.14285714285714285
3,A_no_prompt,0.5,0.07407407407407407
3,B_custom_instruction,0.85,0.10344827586206895
3,D_our_tool,1.0,0.18867924528301885
4,A_no_prompt,0.5,0.09424083769633508
4,B_custom_instruction,0.4903846153846154,0.13333333333333333
4,D_our_tool,0.9782608695652174,0.1967213114754098
