classifier_threshold,small_threshold,balanced_accuracy,avg_cost,large_llm_ratio
0.5,0.5,0.5,0.0,0.0
0.5,0.55,0.5,0.0,0.0
0.5,0.6,0.5,0.0,0.0
0.5,0.65,0.5,0.0,0.0
0.5,0.7,0.5,0.0,0.0
0.5,0.75,0.5,0.0,0.0
0.5,0.8,0.5,0.0,0.0
0.5,0.85,0.5,0.0,0.0
0.5,0.9,0.5,0.0,0.0
0.5,0.95,0.5,0.0,0.0
0.5,1.0,0.5,0.0,0.0
0.55,0.5,0.5108695652173914,0.17391304347826086,0.0
0.55,0.55,0.5108695652173914,0.2028985507246377,0.007246376811594203
0.55,0.6,0.5108695652173914,0.21739130434782608,0.010869565217391304
0.55,0.65,0.5108695652173914,0.2318840579710145,0.014492753623188406
0.55,0.7,0.5108695652173914,0.2318840579710145,0.014492753623188406
0.55,0.75,0.5108695652173914,0.2318840579710145,0.014492753623188406
0.55,0.8,0.5108695652173914,0.2318840579710145,0.014492753623188406
0.55,0.85,0.5108695652173914,0.2318840579710145,0.014492753623188406
0.55,0.9,0.5144927536231885,0.2463768115942029,0.018115942028985508
0.55,0.95,0.5144927536231885,0.2608695652173913,0.021739130434782608
0.55,1.0,0.5144927536231884,0.8695652173913043,0.17391304347826086
0.6,0.5,0.532608695652174,0.3442028985507246,0.0
0.6,0.55,0.532608695652174,0.37318840579710144,0.007246376811594203
0.6,0.6,0.532608695652174,0.38768115942028986,0.010869565217391304
0.6,0.65,0.532608695652174,0.40217391304347827,0.014492753623188406
0.6,0.7,0.532608695652174,0.40217391304347827,0.014492753623188406
0.6,0.75,0.532608695652174,0.40217391304347827,0.014492753623188406
0.6,0.8,0.532608695652174,0.40217391304347827,0.014492753623188406
0.6,0.85,0.5289855072463768,0.44565217391304346,0.025362318840579712
0.6,0.9,0.532608695652174,0.4601449275362319,0.028985507246376812
0.6,0.95,0.532608695652174,0.4746376811594203,0.03260869565217391
0.6,1.0,0.532608695652174,1.7210144927536233,0.3442028985507246
0.65,0.5,0.536231884057971,0.532608695652174,0.0
0.65,0.55,0.536231884057971,0.5615942028985508,0.007246376811594203
0.65,0.6,0.536231884057971,0.5760869565217391,0.010869565217391304
0.65,0.65,0.536231884057971,0.5905797101449275,0.014492753623188406
0.65,0.7,0.536231884057971,0.5905797101449275,0.014492753623188406
0.65,0.75,0.5398550724637681,0.605072463768116,0.018115942028985508
0.65,0.8,0.5398550724637681,0.605072463768116,0.018115942028985508
0.65,0.85,0.536231884057971,0.6485507246376812,0.028985507246376812
0.65,0.9,0.5434782608695652,0.677536231884058,0.036231884057971016
0.65,0.95,0.5434782608695652,0.7065217391304348,0.043478260869565216
0.65,1.0,0.536231884057971,2.6630434782608696,0.532608695652174
0.7,0.5,0.536231884057971,0.7282608695652174,0.0
0.7,0.55,0.536231884057971,0.7572463768115942,0.007246376811594203
0.7,0.6,0.536231884057971,0.7717391304347826,0.010869565217391304
0.7,0.65,0.536231884057971,0.7862318840579711,0.014492753623188406
0.7,0.7,0.536231884057971,0.8007246376811594,0.018115942028985508
0.7,0.75,0.5398550724637681,0.8152173913043478,0.021739130434782608
0.7,0.8,0.5398550724637681,0.8152173913043478,0.021739130434782608
0.7,0.85,0.536231884057971,0.8586956521739131,0.03260869565217391
0.7,0.9,0.5398550724637681,0.9021739130434783,0.043478260869565216
0.7,0.95,0.5398550724637681,0.9311594202898551,0.050724637681159424
0.7,1.0,0.5326086956521738,3.641304347826087,0.7282608695652174
0.75,0.5,0.5507246376811594,0.8623188405797102,0.0
0.75,0.55,0.5507246376811594,0.8913043478260869,0.007246376811594203
0.75,0.6,0.5507246376811594,0.9057971014492754,0.010869565217391304
0.75,0.65,0.5507246376811594,0.9347826086956522,0.018115942028985508
0.75,0.7,0.5507246376811594,0.9492753623188406,0.021739130434782608
0.75,0.75,0.5543478260869565,0.9782608695652174,0.028985507246376812
0.75,0.8,0.5543478260869565,0.9782608695652174,0.028985507246376812
0.75,0.85,0.5507246376811594,1.0217391304347827,0.03985507246376811
0.75,0.9,0.5507246376811594,1.0797101449275361,0.05434782608695652
0.75,0.95,0.5507246376811594,1.108695652173913,0.06159420289855073
0.75,1.0,0.5217391304347826,4.311594202898551,0.8623188405797102
0.8,0.5,0.5471014492753623,0.9528985507246377,0.0
0.8,0.55,0.5434782608695652,0.9963768115942029,0.010869565217391304
0.8,0.6,0.5434782608695652,1.0108695652173914,0.014492753623188406
0.8,0.65,0.5434782608695652,1.039855072463768,0.021739130434782608
0.8,0.7,0.5434782608695652,1.0543478260869565,0.025362318840579712
0.8,0.75,0.5471014492753623,1.0833333333333333,0.03260869565217391
0.8,0.8,0.5471014492753623,1.0833333333333333,0.03260869565217391
0.8,0.85,0.5434782608695652,1.1268115942028984,0.043478260869565216
0.8,0.9,0.5434782608695652,1.184782608695652,0.057971014492753624
0.8,0.95,0.5434782608695652,1.2282608695652173,0.06884057971014493
0.8,1.0,0.5072463768115942,4.7644927536231885,0.9528985507246377
0.85,0.5,0.5615942028985508,0.9963768115942029,0.0
0.85,0.55,0.5579710144927537,1.039855072463768,0.010869565217391304
0.85,0.6,0.5579710144927537,1.0543478260869565,0.014492753623188406
0.85,0.65,0.5579710144927537,1.0833333333333333,0.021739130434782608
0.85,0.7,0.5579710144927537,1.0978260869565217,0.025362318840579712
0.85,0.75,0.5615942028985508,1.1268115942028984,0.03260869565217391
0.85,0.8,0.5615942028985508,1.141304347826087,0.036231884057971016
0.85,0.85,0.5579710144927537,1.184782608695652,0.04710144927536232
0.85,0.9,0.5579710144927537,1.2427536231884058,0.06159420289855073
0.85,0.95,0.5579710144927537,1.286231884057971,0.07246376811594203
0.85,1.0,0.5181159420289855,4.981884057971015,0.9963768115942029
0.9,0.5,0.5579710144927537,1.0,0.0
0.9,0.55,0.5543478260869565,1.0434782608695652,0.010869565217391304
0.9,0.6,0.5543478260869565,1.0579710144927537,0.014492753623188406
0.9,0.65,0.5543478260869565,1.0869565217391304,0.021739130434782608
0.9,0.7,0.5543478260869565,1.1014492753623188,0.025362318840579712
0.9,0.75,0.5579710144927537,1.1304347826086956,0.03260869565217391
0.9,0.8,0.5579710144927537,1.144927536231884,0.036231884057971016
0.9,0.85,0.5543478260869565,1.1884057971014492,0.04710144927536232
0.9,0.9,0.5543478260869565,1.2463768115942029,0.06159420289855073
0.9,0.95,0.5543478260869565,1.289855072463768,0.07246376811594203
0.9,1.0,0.5144927536231884,5.0,1.0
0.95,0.5,0.5579710144927537,1.0,0.0
0.95,0.55,0.5543478260869565,1.0434782608695652,0.010869565217391304
0.95,0.6,0.5543478260869565,1.0579710144927537,0.014492753623188406
0.95,0.65,0.5543478260869565,1.0869565217391304,0.021739130434782608
0.95,0.7,0.5543478260869565,1.1014492753623188,0.025362318840579712
0.95,0.75,0.5579710144927537,1.1304347826086956,0.03260869565217391
0.95,0.8,0.5579710144927537,1.144927536231884,0.036231884057971016
0.95,0.85,0.5543478260869565,1.1884057971014492,0.04710144927536232
0.95,0.9,0.5543478260869565,1.2463768115942029,0.06159420289855073
0.95,0.95,0.5543478260869565,1.289855072463768,0.07246376811594203
0.95,1.0,0.5144927536231884,5.0,1.0
1.0,0.5,0.5579710144927537,1.0,0.0
1.0,0.55,0.5543478260869565,1.0434782608695652,0.010869565217391304
1.0,0.6,0.5543478260869565,1.0579710144927537,0.014492753623188406
1.0,0.65,0.5543478260869565,1.0869565217391304,0.021739130434782608
1.0,0.7,0.5543478260869565,1.1014492753623188,0.025362318840579712
1.0,0.75,0.5579710144927537,1.1304347826086956,0.03260869565217391
1.0,0.8,0.5579710144927537,1.144927536231884,0.036231884057971016
1.0,0.85,0.5543478260869565,1.1884057971014492,0.04710144927536232
1.0,0.9,0.5543478260869565,1.2463768115942029,0.06159420289855073
1.0,0.95,0.5543478260869565,1.289855072463768,0.07246376811594203
1.0,1.0,0.5144927536231884,5.0,1.0
